,trader_name,daily_roi,weekly_roi,monthly_roi,all_roi,daily_pnl,weekly_pnl,monthly_pnl,all_pnl,number_of_trade,traded_open_dates,traded_symbols,traded_leverages,traded_types,traded_size,traded_open_price,traded_market_price,trade_pnl,trade_roi
0,Cho***aro,+2.84%,-32.44%,+17.31%,-106.79%,+5.54,-96.18,+77.98,"-14,243.39",1,['2022-12-29 21:21:59'],['BTCUSDT Perpetual'],['85x'],['Long'],['0.118'],"['16,582.00']","['16,598.50']",['1.95'],['(2.8705%)']
1,Cho***aro,+2.84%,-32.44%,+17.31%,-106.79%,+5.54,-96.18,+77.98,"-14,243.39",1,['2022-12-29 21:21:59'],['BTCUSDT Perpetual'],['85x'],['Long'],['0.118'],"['16,582.00']","['16,597.90']",['1.88'],['(2.7658%)']
2,Cho***aro,+2.84%,-32.44%,+17.31%,-106.79%,+5.54,-96.18,+77.98,"-14,243.39",1,['2022-12-29 21:21:59'],['BTCUSDT Perpetual'],['85x'],['Long'],['0.118'],"['16,582.00']","['16,597.56']",['1.84'],['(2.7078%)']
3,Cho***aro,+2.84%,-32.44%,+17.31%,-106.79%,+5.54,-96.18,+77.98,"-14,243.39",1,['2022-12-29 21:21:59'],['BTCUSDT Perpetual'],['85x'],['Long'],['0.118'],"['16,582.00']","['16,596.95']",['1.76'],['(2.6013%)']
4,Cho***aro,+2.84%,-32.44%,+17.31%,-106.79%,+5.54,-96.18,+77.98,"-14,243.39",1,['2022-12-29 21:21:59'],['BTCUSDT Perpetual'],['85x'],['Long'],['0.118'],"['16,582.00']","['16,596.85']",['1.75'],['(2.5844%)']
5,Cho***aro,+2.84%,-32.44%,+17.31%,-106.79%,+5.54,-96.18,+77.98,"-14,243.39",1,['2022-12-29 21:21:59'],['BTCUSDT Perpetual'],['85x'],['Long'],['0.118'],"['16,582.00']","['16,594.18']",['1.44'],['(2.1194%)']
6,Cho***aro,+2.84%,-32.44%,+17.31%,-106.79%,+5.54,-96.18,+77.98,"-14,243.39",1,['2022-12-29 21:21:59'],['BTCUSDT Perpetual'],['85x'],['Long'],['0.118'],"['16,582.00']","['16,592.78']",['1.27'],['(1.8759%)']
7,Ketepeng,0.00%,+13.07%,-6.65%,+881.00%,0.00,+19.48,-10.90,"+1,716.29",1,['2022-12-30 20:57:56'],['OCEANUSDT Perpetual'],['20x'],['Short'],['4996'],['0.16715'],['0.16583'],['6.63'],['(16.0154%)']
8,Anonymous User-dbd8a4,0.00%,0.00%,-105.02%,-56.51%,0.00,0.00,"-1,581.29","-99,151.96",0,[],[],[],[],[],[],[],[],[]
9,Anonymous User-e8c695,+392.17%,-78.71%,-84.42%,-7.49%,+392.17,"-1,819.89","-2,667.63","-51,512.14",3,"['2022-12-16 10:00:28', '2022-12-19 19:17:45', '2022-12-16 11:17:08']","['ETHUSDT Perpetual', 'AVAXUSDT Perpetual', 'BTCUSDT Perpetual']","['10x', '20x', '20x']","['Long', 'Long', 'Long']","['45.285', '850', '1.886']","['1,228.00', '11.7520', '16,930.00']","['1,198.85', '10.8670', '16,592.60']","['-1,320.21', '-752.25', '-636.33']","['(-13.5912%)', '(-162.8784%)', '(-12.2081%)']"
