,trader_name,daily_roi,weekly_roi,monthly_roi,all_roi,daily_pnl,weekly_pnl,monthly_pnl,all_pnl,number_of_trade,traded_open_dates,traded_symbols,traded_leverages,traded_types,traded_size,traded_open_price,traded_market_price,trade_pnl,trade_roi
0,Anonymous User-b62811,+8.71%,+407.49%,+8.71%,+8.83%,+181.53,"+1,291.41",+181.53,"+122,496.43",2,"['2023-01-02 03:33:17', '2023-01-01 14:10:52']","['ADAUSDT Perpetual', 'LINKUSDT Perpetual']","['40x', '40x']","['Long', 'Long']","['199065', '4360.47']","['0.24850', '5.560']","['0.25360', '5.692']","['1,015.23', '575.26']","['(80.4416%)', '(92.7153%)']"
1,Anonymous User-2bce32,+34.30%,+551.35%,+34.30%,-6.84%,+166.36,+551.35,+166.36,"-180,948.74",0,[],[],[],[],[],[],[],[],[]
2,Anonymous User-02ed1,+562.23%,-32.91%,+562.23%,+6.66%,+562.23,"-3,711.47",+562.23,"+287,322.38",1,['2023-01-03 01:07:49'],['BTCUSDT Perpetual'],['25x'],['Long'],['8.545'],"['16,680.55']","['16,673.20']",['-62.76'],['(-1.1013%)']
3,Anonymous User-b62811,+8.71%,+407.49%,+8.71%,+8.83%,+181.53,"+1,291.41",+181.53,"+122,496.43",2,"['2023-01-02 03:33:17', '2023-01-01 14:10:52']","['ADAUSDT Perpetual', 'LINKUSDT Perpetual']","['40x', '40x']","['Long', 'Long']","['199065', '4360.47']","['0.24850', '5.560']","['0.25353', '5.690']","['1,002.17', '566.13']","['(79.4273%)', '(91.2776%)']"
4,Anonymous User-2bce32,+34.30%,+551.35%,+34.30%,-6.84%,+166.36,+551.35,+166.36,"-180,948.74",0,[],[],[],[],[],[],[],[],[]
5,Anonymous User-02ed1,+562.23%,-32.91%,+562.23%,+6.66%,+562.23,"-3,711.47",+562.23,"+287,322.38",1,['2023-01-03 01:07:49'],['BTCUSDT Perpetual'],['33x'],['Long'],['8.545'],"['16,680.55']","['16,672.90']",['-65.33'],['(-1.5132%)']
6,Anonymous User-b62811,+8.71%,+407.49%,+8.71%,+8.83%,+181.53,"+1,291.41",+181.53,"+122,496.43",2,"['2023-01-02 03:33:17', '2023-01-01 14:10:52']","['ADAUSDT Perpetual', 'LINKUSDT Perpetual']","['40x', '40x']","['Long', 'Long']","['199065', '4360.47']","['0.24850', '5.560']","['0.25350', '5.690']","['995.33', '568.01']","['(78.8955%)', '(91.5736%)']"
7,Anonymous User-2bce32,+34.30%,+551.35%,+34.30%,-6.84%,+166.36,+551.35,+166.36,"-180,948.74",0,[],[],[],[],[],[],[],[],[]
8,Anonymous User-02ed1,+562.23%,-32.91%,+562.23%,+6.66%,+562.23,"-3,711.47",+562.23,"+287,322.38",1,['2023-01-03 01:07:49'],['BTCUSDT Perpetual'],['33x'],['Long'],['8.545'],"['16,680.55']","['16,672.90']",['-65.33'],['(-1.5132%)']
9,Anonymous User-b62811,+8.71%,+407.49%,+8.71%,+8.83%,+181.53,"+1,291.41",+181.53,"+122,496.43",2,"['2023-01-02 03:33:17', '2023-01-01 14:10:52']","['ADAUSDT Perpetual', 'LINKUSDT Perpetual']","['40x', '40x']","['Long', 'Long']","['199065', '4360.47']","['0.24850', '5.560']","['0.25341', '5.687']","['976.58', '554.01']","['(77.4385%)', '(89.3678%)']"
